file,raw_y_col,raw_x_col,window_order,window_start_x,window_end_x,window_start_raw_idx,window_end_raw_idx,window_width,window_point_count,window_mean_y,window_peak_raw_idx,window_peak_raw_x,window_peak_raw_y,manual_label
flex_12_b.csv, sensor2_smooth_rot,timestamp,1,43622.327879772034,46336.900247518905,57,110,2714.5723677468704,54,73.95366274947662,82,44912.0,74.83421941716851,Crack 3
flex_12_b.csv, sensor2_smooth_rot,timestamp,2,48561.95956534421,51944.049728438666,155,222,3382.0901630944572,68,73.39192683800708,198,50712.0,73.54584796267818,Crack 2
flex_12_b.csv, sensor2_smooth_rot,timestamp,3,67697.4696986418,70234.03732096264,538,588,2536.567622320843,51,73.45614390278914,562,68912.0,73.63105126662094,Crack 2
flex_12_b.csv, sensor2_smooth_rot,timestamp,4,73126.61443413555,76330.69985180398,647,710,3204.0854176684225,64,73.87763399756345,680,74812.0,74.82798902299571,Crack 3
flex_12_c.csv, sensor2_smooth_rot,timestamp,1,28392.02108218197,31273.102625743217,46,103,2881.081543561246,58,74.22451817421842,76,29905.0,75.55059287449431,Crack 3
flex_12_c.csv, sensor2_smooth_rot,timestamp,2,33645.75801455836,37374.21648269643,151,225,3728.4584681380657,75,73.4633466759544,188,35505.0,73.73672787207478,Crack 2
flex_12_c.csv, sensor2_smooth_rot,timestamp,3,54533.599205377366,57923.106903684704,569,636,3389.5076983073377,68,73.48462287785676,594,55805.0,73.75939557814583,Crack 2
flex_12_c.csv, sensor2_smooth_rot,timestamp,4,59914.442676440274,63303.95037474761,677,743,3389.5076983073377,67,74.12217451654507,710,61605.0,75.5260942640609,Crack 3
flex_12_new.csv, sensor2_smooth_rot,timestamp,1,103574.10459410424,105296.83221892918,63,96,1722.72762482494,34,76.9822260808187,80,104463.0,77.38223992883795,Crack 3
flex_12_new.csv, sensor2_smooth_rot,timestamp,2,108818.8531407935,110847.84345447618,168,207,2028.9903136826906,40,76.71453827131208,186,109763.0,77.0385320304791,Crack 2
flex_12_new.csv, sensor2_smooth_rot,timestamp,3,113719.05616251777,116322.28901780875,266,317,2603.2328552909894,52,76.4783571358225,306,115763.0,76.55965784744141,Crack 1
flex_12_new.csv, sensor2_smooth_rot,timestamp,4,121375.6233839619,123978.8562392529,419,470,2603.232855291004,52,76.44042805224174,438,122363.0,76.51282693066365,Crack 1
flex_12_new.csv, sensor2_smooth_rot,timestamp,5,127654.0085055461,129300.1704581566,544,576,1646.161952610506,33,76.5485935906652,562,128563.0,76.6426652376737,Crack 2
flex_12_new.csv, sensor2_smooth_rot,timestamp,6,133396.4339216292,134851.18169370358,659,687,1454.7477720743627,29,76.72419436658473,674,134163.0,76.83655416699997,Crack 3
