file,x_col,y_col,n_samples,noise_floor,noise_sigma,signal_amplitude,snr_linear,snr_db,peak_count,peak_indices,peak_snr_db_values,peak_labels,peak_height_threshold
flex08_100_a.csv,sensor1, sensor2,1598,22.568674829718553,0.0013034777232855928,0.059794768396249864,45.87325684824825,33.231191493728154,6,238;434;647;940;1191;1393,39.093280;33.097284;22.897534;22.016393;33.363066;39.591525,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
flex08_100_b.csv,sensor1, sensor2,1510,22.570036837434902,0.0026414456227624975,0.06436871266027566,24.368744185222738,27.736662978047445,6,210;408;613;894;1132;1335,33.705765;27.586135;17.409637;16.631027;27.884626;33.763661,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
flex08_100_c.csv,sensor1, sensor2,1521,22.55521805234401,0.0019894329480915165,0.09112559843082657,45.80481011850351,33.21822174271172,6,226;419;625;903;1127;1338,40.479462;33.622399;21.973933;22.169983;32.794316;38.543853,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
flex08_220_a.csv,sensor1, sensor2,1625,20.287934155407854,0.0024988211187344073,0.10638751506599853,42.57508241321461,32.58310994611365,6,250;474;693;982;1219;1459,38.212479;32.498418;22.149339;22.609241;32.666984;38.260769,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
flex08_220_b.csv,sensor1, sensor2,1559,20.29046003362694,0.002151048129939843,0.1031582468565464,47.95720068775558,33.617076498819046,6,203;429;646;881;1119;1360,39.329066;33.637646;23.197893;22.692887;33.596458;39.280315,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
flex08_220_c.csv,sensor1, sensor2,1591,20.290757829453604,0.0016920081623390184,0.1005046181046616,59.399605948546274,35.475671278432095,6,220;441;666;939;1182;1417,41.123439;35.459262;24.964369;25.399971;35.492049;41.156086,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
flex08_440_a.csv,sensor1, sensor2,1614,20.326912131191083,0.0007112980278889305,0.07290371787185101,102.49391255620768,40.213961440175645,6,227;439;670;965;1207;1428,46.180863;40.210520;29.384601;28.690910;40.217401;46.056846,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
flex08_440_b.csv,sensor1, sensor2,1574,20.322814628171958,0.0006837568495930124,0.07558580759466871,110.54486348423288,40.870771353983535,6,216;423;642;921;1173;1394,46.783425;40.860479;29.909112;29.722494;40.881051;46.789695,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
flex08_440_c.csv,sensor1, sensor2,1520,20.314707466542835,0.0006249592267173328,0.07196590569026107,115.15296136720778,41.225502222279395,6,181;388;604;884;1127;1346,47.157859;41.280140;30.025039;30.047326;41.170519;46.957942,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
flex08_660_a.csv,sensor1, sensor2,1604,20.7384867239206,0.0012590933635060022,0.060320010243156474,47.90749597408145,33.60806943550615,6,206;406;619;896;1139;1345,39.983034;33.570264;21.938864;22.528218;33.645711;39.922857,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
flex08_660_b.csv,sensor1, sensor2,1459,20.740157695320438,0.0007414185107813067,0.05693993428529964,76.79864133051703,37.707070737120176,6,152;348;568;858;1092;1302,43.929143;37.654474;25.461127;26.608701;37.759350;44.024904,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
flex08_660_c.csv,sensor1, sensor2,1482,20.7254448351556,0.0005926075890779665,0.0521065255394344,87.92753670351495,38.88249813072574,6,154;352;555;814;1054;1260,44.993463;38.886665;27.599947;27.585609;38.878329;45.021293,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
