manual_label,count,snr_db_mean,snr_db_median,snr_db_min,snr_db_max,snr_linear_mean,signal_amplitude_mean,noise_sigma_mean
Crack 3,18,37.84324149074243,38.48233130830258,28.35091328998314,47.04470375459289,90.70913991253258,0.22832631232675743,0.0023980860927625
Crack 2,18,30.169176720198053,28.73240754560463,22.432823438376907,41.10813761539667,39.197209611396005,0.09343827700775534,0.0023980860927625
Crack 1,18,15.337131016147575,14.562795990608343,4.232123624786947,30.01618073443634,8.7989801799698,0.019211492667509572,0.0023980860927625
