file,manual_label,count
flex_04_a.csv,Crack 1,2
flex_04_a.csv,Crack 2,2
flex_04_a.csv,Crack 3,2
flex_04_b.csv,Crack 1,2
flex_04_b.csv,Crack 2,2
flex_04_b.csv,Crack 3,2
flex_04_c.csv,Crack 1,2
flex_04_c.csv,Crack 2,2
flex_04_c.csv,Crack 3,2
flex_08_a.csv,Crack 1,2
flex_08_a.csv,Crack 2,2
flex_08_a.csv,Crack 3,2
flex_08_b.csv,Crack 1,2
flex_08_b.csv,Crack 2,2
flex_08_b.csv,Crack 3,2
flex_08_c.csv,Crack 1,2
flex_08_c.csv,Crack 2,2
flex_08_c.csv,Crack 3,2
flex_12_a.csv,Crack 1,2
flex_12_a.csv,Crack 2,2
flex_12_a.csv,Crack 3,2
flex_12_b.csv,Crack 1,2
flex_12_b.csv,Crack 2,2
flex_12_b.csv,Crack 3,2
flex_12_c.csv,Crack 1,2
flex_12_c.csv,Crack 2,2
flex_12_c.csv,Crack 3,2
