file,manual_label,count
flex14_a.csv,Crack 1,2
flex14_a.csv,Crack 2,2
flex14_a.csv,Crack 3,2
flex14_b.csv,Crack 1,2
flex14_b.csv,Crack 2,2
flex14_b.csv,Crack 3,2
flex_12_220_a.csv,Crack 1,2
flex_12_220_a.csv,Crack 2,2
flex_12_220_a.csv,Crack 3,2
flex_12_220_b.csv,Crack 1,2
flex_12_220_b.csv,Crack 2,2
flex_12_220_b.csv,Crack 3,2
flex_12_220_c.csv,Crack 1,2
flex_12_220_c.csv,Crack 2,2
flex_12_220_c.csv,Crack 3,2
flex_13_a.csv,Crack 2,2
flex_13_a.csv,Crack 3,2
flex_13_b.csv,Crack 2,2
flex_13_b.csv,Crack 3,2
flex_13_c.csv,Crack 2,2
flex_13_c.csv,Crack 3,2
