timestamp_computer,timestamp,sensor1,sensor2,mag,width,crack_x,crack_size
1780352780.185,1355155.0,15323.964,11.989732,,,,
1780352780.186,1355180.0,15324.018,11.989732,,,,
1780352780.187,1355205.0,15324.106,11.989732,,,,
1780352780.247,1355230.0,15324.339,11.989732,,,,
1780352780.248,1355255.0,15324.322,11.989732,,,,
1780352780.301,1355280.0,15324.304,11.989732,,,,
1780352780.301,1355305.0,15324.375,11.990004,,,,
1780352780.374,1355330.0,15324.429,11.990004,,,,
1780352780.375,1355355.0,15324.43,11.990004,,,,
1780352780.376,1355380.0,15324.162,11.990004,,,,
1780352780.437,1355405.0,15324.376,11.990276,,,,
1780352780.451,1355430.0,15324.395,11.990004,,,,
1780352780.452,1355455.0,15324.574,11.990004,,,,
1780352780.500,1355480.0,15324.699,11.990004,,,,
1780352780.501,1355505.0,15324.628,11.990004,,,,
1780352780.549,1355530.0,15324.466,11.990004,,,,
1780352780.549,1355555.0,15324.232,11.990004,,,,
1780352780.613,1355580.0,15324.018,11.990004,,,,
1780352780.615,1355605.0,15323.857,11.990004,,,,
1780352780.616,1355630.0,15323.732,11.989732,,,,
1780352780.683,1355655.0,15323.679,11.989732,,,,
1780352780.684,1355680.0,15323.643,11.989732,,,,
1780352780.684,1355705.0,15323.428,11.989732,,,,
1780352780.741,1355730.0,15323.356,11.989732,,,,
1780352780.742,1355755.0,15323.321,11.990004,,,,
1780352780.804,1355780.0,15323.178,11.989732,,,,
1780352780.806,1355805.0,15323.142,11.989732,,,,
1780352780.868,1355830.0,15323.088,11.990004,,,,
1780352780.869,1355855.0,15323.032,11.990004,,,,
1780352780.870,1355880.0,15322.979,11.990276,,,,
1780352780.931,1355905.0,15323.121,11.990276,,,,
1780352780.931,1355930.0,15322.799,11.990004,,,,
1780352780.996,1355955.0,15322.799,11.990004,,,,
1780352780.996,1355980.0,15322.871,11.990004,,,,
1780352780.997,1356005.0,15322.997,11.990004,,,,
1780352781.051,1356030.0,15322.961,11.990004,,,,
1780352781.052,1356055.0,15322.8,11.990276,,,,
1780352781.123,1356080.0,15322.532,11.990276,,,,
1780352781.124,1356105.0,15322.46,11.990276,,,,
1780352781.125,1356130.0,15322.531,11.990548,,,,
1780352781.187,1356155.0,15322.567,11.990548,,,,
1780352781.188,1356180.0,15322.909,11.990548,,,,
1780352781.189,1356205.0,15322.961,11.990548,,,,
1780352781.249,1356230.0,15323.105,11.990548,,,,
1780352781.250,1356255.0,15323.159,11.99082,,,,
1780352781.301,1356280.0,15323.122,11.99082,,,,
1780352781.302,1356305.0,15323.124,11.99082,,,,
1780352781.363,1356330.0,15322.997,11.99082,,,,
1780352781.364,1356355.0,15323.104,11.991093,,,,
1780352781.364,1356380.0,15323.122,11.991093,,,,
1780352781.426,1356405.0,15323.374,11.991093,,,,
