timestamp_computer,timestamp,sensor1,sensor2,mag,width,crack_x,crack_size
1780357165.009,339837.0,6668.616,9.937396,,,,
1780357165.010,339862.0,6669.443,9.937292,,,,
1780357165.072,339887.0,6670.373,9.937623,,,,
1780357165.073,339912.0,6671.166,9.937532,,,,
1780357165.134,339937.0,6671.939,9.93745,,,,
1780357165.135,339962.0,6672.659,9.937631,,,,
1780357165.135,339987.0,6673.391,9.937565,,,,
1780357165.198,340012.0,6674.199,9.937469,,,,
1780357165.198,340037.0,6675.142,9.937795,,,,
1780357165.262,340062.0,6676.078,9.937645,,,,
1780357165.263,340087.0,6676.906,9.93754,,,,
1780357165.264,340112.0,6677.781,9.937416,,,,
1780357165.328,340137.0,6678.601,9.937314,,,,
1780357165.328,340162.0,6679.32,9.937255,,,,
1780357165.388,340187.0,6677.842,9.93763,,,,
1780357165.388,340212.0,6677.481,9.937779,,,,
1780357165.389,340237.0,6677.427,9.938042,,,,
1780357165.452,340262.0,6677.162,9.938151,,,,
1780357165.453,340287.0,6677.114,9.938171,,,,
1780357165.510,340312.0,6677.086,9.938183,,,,
1780357165.511,340337.0,6677.161,9.937913,,,,
1780357165.511,340362.0,6677.086,9.937704,,,,
1780357165.563,340387.0,6677.005,9.937738,,,,
1780357165.564,340412.0,6676.991,9.937744,,,,
1780357165.627,340437.0,6676.93,9.938008,,,,
1780357165.629,340462.0,6676.903,9.93778,,,,
1780357165.692,340487.0,6676.781,9.937832,,,,
1780357165.693,340512.0,6676.611,9.937663,,,,
1780357165.694,340537.0,6676.536,9.937933,,,,
1780357165.755,340562.0,6676.494,9.93795,,,,
1780357165.755,340587.0,6676.501,9.937708,,,,
1780357165.755,340612.0,6676.277,9.937801,,,,
1780357165.818,340637.0,6676.332,9.937778,,,,
1780357165.819,340662.0,6676.243,9.937576,,,,
1780357165.882,340687.0,6676.128,9.937624,,,,
1780357165.882,340712.0,6676.074,9.937647,,,,
1780357165.883,340737.0,6676.074,9.937647,,,,
1780357165.945,340762.0,6676.121,9.937627,,,,
1780357165.945,340787.0,6675.979,9.937686,,,,
1780357166.009,340812.0,6675.931,9.937467,,,,
1780357166.010,340837.0,6676.122,9.937387,,,,
1780357166.010,340862.0,6676.244,9.937099,,,,
1780357166.073,340887.0,6676.264,9.93709,,,,
1780357166.075,340912.0,6676.326,9.937303,,,,
1780357166.137,340937.0,6676.257,9.937093,,,,
1780357166.138,340962.0,6676.278,9.937083,,,,
1780357166.138,340987.0,6676.366,9.937047,,,,
1780357166.201,341012.0,6676.223,9.937345,,,,
1780357166.201,341037.0,6676.338,9.937297,,,,
1780357166.264,341062.0,6676.325,9.937064,,,,
1780357166.265,341087.0,6676.419,9.937025,,,,
1780357166.265,341112.0,6676.44,9.937016,,,,
1780357166.328,341137.0,6676.406,9.937031,,,,
1780357166.328,341162.0,6676.514,9.936747,,,,
1780357166.391,341187.0,6676.521,9.936743,,,,
1780357166.392,341212.0,6676.61,9.936707,,,,
1780357166.393,341237.0,6676.767,9.93688,,,,
1780357166.443,341262.0,6676.665,9.937161,,,,
1780357166.444,341287.0,6676.604,9.937187,,,,
1780357166.511,341312.0,6676.591,9.937431,,,,
1780357166.511,341337.0,6676.571,9.93744,,,,
1780357166.512,341362.0,6676.666,9.937401,,,,
1780357166.577,341387.0,6676.556,9.937447,,,,
1780357166.577,341412.0,6676.692,9.937389,,,,
1780357166.629,341437.0,6676.665,9.937401,,,,
1780357166.630,341462.0,6676.605,9.937186,,,,
1780357166.630,341487.0,6676.638,9.937173,,,,
1780357166.694,341512.0,6676.754,9.937364,,,,
1780357166.695,341537.0,6676.652,9.937406,,,,
1780357166.757,341562.0,6676.815,9.937339,,,,
1780357166.758,341587.0,6676.645,9.937409,,,,
1780357166.758,341612.0,6676.536,9.937454,,,,
1780357166.821,341637.0,6676.672,9.937159,,,,
1780357166.823,341662.0,6676.549,9.937209,,,,
1780357166.876,341687.0,6676.501,9.937229,,,,
1780357166.876,341712.0,6676.569,9.937201,,,,
1780357166.949,341737.0,6676.705,9.937144,,,,
1780357166.950,341762.0,6676.692,9.93715,,,,
1780357166.950,341787.0,6676.576,9.937199,,,,
1780357167.026,341812.0,6676.699,9.937147,,,,
1780357167.027,341837.0,6676.563,9.937204,,,,
1780357167.027,341862.0,6676.549,9.93721,,,,
1780357167.076,341887.0,6676.569,9.936963,,,,
1780357167.077,341912.0,6676.63,9.936937,,,,
1780357167.129,341937.0,6676.623,9.936701,,,,
1780357167.129,341962.0,6676.766,9.936642,,,,
1780357167.130,341987.0,6676.535,9.936738,,,,
1780357167.202,342012.0,6676.494,9.936515,,,,
1780357167.204,342037.0,6676.604,9.93647,,,,
1780357167.260,342062.0,6676.733,9.936416,,,,
1780357167.261,342087.0,6676.72,9.936421,,,,
1780357167.262,342112.0,6676.659,9.936447,,,,
1780357167.328,342137.0,6676.835,9.936134,,,,
1780357167.330,342162.0,6676.951,9.935846,,,,
1780357167.330,342187.0,6676.835,9.935895,,,,
1780357167.392,342212.0,6677.073,9.935796,,,,
1780357167.393,342237.0,6677.114,9.935779,,,,
1780357167.441,342262.0,6677.114,9.936018,,,,
1780357167.442,342287.0,6677.107,9.936021,,,,
1780357167.503,342312.0,6677.176,9.935992,,,,
1780357167.503,342337.0,6677.318,9.935933,,,,
1780357167.567,342362.0,6677.236,9.935967,,,,
1780357167.567,342387.0,6677.426,9.935888,,,,
1780357167.567,342412.0,6677.508,9.935854,,,,
1780357167.628,342437.0,6677.433,9.936125,,,,
1780357167.628,342462.0,6677.475,9.936108,,,,
1780357167.693,342487.0,6677.569,9.935829,,,,
1780357167.693,342512.0,6677.665,9.936028,,,,
1780357167.694,342537.0,6677.651,9.936034,,,,
1780357167.758,342562.0,6677.685,9.93602,,,,
1780357167.758,342587.0,6677.624,9.936046,,,,
1780357167.758,342612.0,6677.767,9.935987,,,,
1780357167.821,342637.0,6677.855,9.936189,,,,
1780357167.821,342662.0,6677.883,9.936177,,,,
1780357167.884,342687.0,6677.855,9.936189,,,,
1780357167.894,342712.0,6677.883,9.936177,,,,
1780357167.895,342737.0,6677.727,9.936481,,,,
1780357167.947,342762.0,6677.57,9.936547,,,,
1780357167.947,342787.0,6677.386,9.936624,,,,
1780357168.010,342812.0,6677.393,9.936621,,,,
1780357168.011,342837.0,6677.08,9.93675,,,,
1780357168.011,342862.0,6676.964,9.936799,,,,
1780357168.075,342887.0,6676.808,9.936625,,,,
1780357168.076,342912.0,6676.788,9.936633,,,,
1780357168.138,342937.0,6676.808,9.936625,,,,
1780357168.139,342962.0,6676.516,9.936985,,,,
1780357168.140,342987.0,6676.48,9.936999,,,,
1780357168.202,343012.0,6676.42,9.937025,,,,
1780357168.203,343037.0,6676.4,9.937271,,,,
1780357168.260,343062.0,6676.468,9.937005,,,,
1780357168.261,343087.0,6676.428,9.937021,,,,
1780357168.261,343112.0,6676.346,9.937056,,,,
1780357168.327,343137.0,6676.278,9.936844,,,,
1780357168.327,343162.0,6676.156,9.936895,,,,
1780357168.589,343187.0,6676.183,9.936884,,,,
1780357168.590,343212.0,6676.08,9.936927,,,,
1780357168.592,343237.0,6676.176,9.936887,,,,
1780357168.593,343262.0,6676.23,9.936865,,,,
