file,manual_label,count
speed100_delay10.csv,Crack 1,2
speed100_delay10.csv,Crack 2,2
speed100_delay10.csv,Crack 3,2
speed100_delay25.csv,Crack 1,2
speed100_delay25.csv,Crack 2,2
speed100_delay25.csv,Crack 3,2
speed100_delay5.csv,Crack 1,2
speed100_delay5.csv,Crack 2,2
speed100_delay5.csv,Crack 3,2
speed100_delay50.csv,Crack 1,2
speed100_delay50.csv,Crack 2,2
speed100_delay50.csv,Crack 3,2
speed40_delay10.csv,Crack 1,2
speed40_delay10.csv,Crack 2,2
speed40_delay10.csv,Crack 3,2
speed40_delay25.csv,Crack 1,2
speed40_delay25.csv,Crack 2,2
speed40_delay25.csv,Crack 3,2
speed40_delay5.csv,Crack 1,2
speed40_delay5.csv,Crack 2,2
speed40_delay5.csv,Crack 3,2
speed40_delay50.csv,Crack 1,2
speed40_delay50.csv,Crack 2,2
speed40_delay50.csv,Crack 3,2
speed50_delay10.csv,Crack 1,2
speed50_delay10.csv,Crack 2,2
speed50_delay10.csv,Crack 3,2
speed50_delay25.csv,Crack 1,2
speed50_delay25.csv,Crack 2,2
speed50_delay25.csv,Crack 3,2
speed50_delay5.csv,Crack 1,2
speed50_delay5.csv,Crack 2,2
speed50_delay5.csv,Crack 3,2
speed50_delay50.csv,Crack 1,2
speed50_delay50.csv,Crack 2,2
speed50_delay50.csv,Crack 3,2
speed60_delay10.csv,Crack 1,2
speed60_delay10.csv,Crack 2,2
speed60_delay10.csv,Crack 3,2
speed60_delay25.csv,Crack 1,2
speed60_delay25.csv,Crack 2,2
speed60_delay25.csv,Crack 3,2
speed60_delay5.csv,Crack 1,2
speed60_delay5.csv,Crack 2,2
speed60_delay5.csv,Crack 3,2
speed60_delay50.csv,Crack 1,2
speed60_delay50.csv,Crack 2,2
speed60_delay50.csv,Crack 3,2
speed70_delay10.csv,Crack 1,2
speed70_delay10.csv,Crack 2,2
speed70_delay10.csv,Crack 3,2
speed70_delay25.csv,Crack 1,2
speed70_delay25.csv,Crack 2,2
speed70_delay25.csv,Crack 3,2
speed70_delay5.csv,Crack 1,2
speed70_delay5.csv,Crack 2,2
speed70_delay5.csv,Crack 3,2
speed70_delay50.csv,Crack 1,2
speed70_delay50.csv,Crack 2,2
speed70_delay50.csv,Crack 3,2
speed80_delay10.csv,Crack 1,2
speed80_delay10.csv,Crack 2,2
speed80_delay10.csv,Crack 3,2
speed80_delay25.csv,Crack 1,2
speed80_delay25.csv,Crack 2,2
speed80_delay25.csv,Crack 3,2
speed80_delay5.csv,Crack 1,2
speed80_delay5.csv,Crack 2,2
speed80_delay5.csv,Crack 3,2
speed80_delay50.csv,Crack 1,2
speed80_delay50.csv,Crack 2,2
speed80_delay50.csv,Crack 3,2
speed90_delay10.csv,Crack 1,2
speed90_delay10.csv,Crack 2,2
speed90_delay10.csv,Crack 3,2
speed90_delay25.csv,Crack 1,2
speed90_delay25.csv,Crack 2,2
speed90_delay25.csv,Crack 3,2
speed90_delay5.csv,Crack 1,2
speed90_delay5.csv,Crack 2,2
speed90_delay5.csv,Crack 3,2
speed90_delay50.csv,Crack 1,2
speed90_delay50.csv,Crack 2,2
speed90_delay50.csv,Crack 3,2
