file,speed,delay,x_col,y_col,manual_label,window_start_x,window_end_x,window_start_raw_idx,window_end_raw_idx,peak_index_in_clean_series,peak_raw_idx,peak_x,peak_y,noise_floor,noise_sigma,peak_signal_amplitude,peak_snr_linear,peak_snr_db
speed100_delay10.csv,100,10,sensor1, sensor2,Crack 1,9336.868,9329.457,443,524,475,475,9323.783,44.735695,44.66389474,0.00275421,0.071800261,26.06927183,28.32257801
speed100_delay10.csv,100,10,sensor1, sensor2,Crack 1,9345.972,9359.185,677,761,719,719,9338.364,44.735428,44.66329035,0.00275421,0.072137647,26.19177013,28.36329701
speed100_delay10.csv,100,10,sensor1, sensor2,Crack 2,9357.631,9345.988,298,383,343,343,9290.968,44.926064,44.66223007,0.00275421,0.263833927,95.79294401,39.62667041
speed100_delay10.csv,100,10,sensor1, sensor2,Crack 2,9369.119,9390.35,811,896,852,852,9312.076,44.925343,44.66127274,0.00275421,0.264070263,95.8787532,39.63444756
speed100_delay10.csv,100,10,sensor1, sensor2,Crack 3,9379.529,9366.022,161,247,208,208,9249.663,45.186985,44.66058765,0.00275421,0.526397351,191.1245934,45.62633149
speed100_delay10.csv,100,10,sensor1, sensor2,Crack 3,9390.483,9426.26,943,1037,989,989,9287.644,45.178288,44.66074268,0.00275421,0.517545322,187.9105947,45.47902534
speed100_delay25.csv,100,25,sensor1, sensor2,Crack 1,9342.131,9329.218,188,239,212,212,9326.857,44.717129,44.66314797,0.001901297,0.053981031,28.39168601,29.06382367
speed100_delay25.csv,100,25,sensor1, sensor2,Crack 1,9338.482,9360.554,293,340,316,316,9340.429,44.716637,44.66363175,0.001901297,0.053005246,27.87846529,28.90537724
speed100_delay25.csv,100,25,sensor1, sensor2,Crack 2,9359.197,9343.877,130,176,152,152,9313.319,44.829536,44.6627461,0.001901297,0.1667899,87.72426834,38.86239509
speed100_delay25.csv,100,25,sensor1, sensor2,Crack 2,9364.459,9387.516,353,399,376,376,9337.865,44.829861,44.66333736,0.001901297,0.166523636,87.58422519,38.84851785
speed100_delay25.csv,100,25,sensor1, sensor2,Crack 3,9389.382,9363.447,67,120,93,93,9297.21,44.986134,44.66457186,0.001901297,0.321562145,169.1277702,44.56429846
speed100_delay25.csv,100,25,sensor1, sensor2,Crack 3,9392.437,9415.541,410,460,435,435,9329.89,44.983509,44.66146124,0.001901297,0.322047757,169.3831813,44.57740571
speed100_delay5.csv,100,5,sensor1, sensor2,Crack 1,9341.126,9334.737,898,1041,982,982,9331.018,44.726566,44.65474881,0.00415953,0.071817193,17.26569801,24.74368281
speed100_delay5.csv,100,5,sensor1, sensor2,Crack 1,9342.955,9359.937,1938,2073,2019,2019,9338.597,44.730831,44.65478505,0.00415953,0.076045952,18.28234125,25.24063622
speed100_delay5.csv,100,5,sensor1, sensor2,Crack 2,9361.14,9349.288,621,774,708,708,9294.031,44.91983,44.65066116,0.00415953,0.269168842,64.71135568,36.21960997
speed100_delay5.csv,100,5,sensor1, sensor2,Crack 2,9373.826,9387.053,2212,2354,2292,2292,9317.652,44.922333,44.6518459,0.00415953,0.270487097,65.02827964,36.26204529
speed100_delay5.csv,100,5,sensor1, sensor2,Crack 3,9386.481,9368.031,336,515,450,450,9250.021,45.188568,44.65203952,0.00415953,0.536528483,128.9877581,42.21096989
