file,raw_y_col,raw_x_col,window_order,window_start_x,window_end_x,window_start_raw_idx,window_end_raw_idx,window_width,window_point_count,window_mean_y,window_peak_raw_idx,window_peak_raw_x,window_peak_raw_y,manual_label
flex08_100_a.csv, sensor2,timestamp,1,90737.00075342685,94526.32231360728,153,299,3789.321560180426,147,22.612737646783923,238,92950.0,22.685163983688053,Crack 3
flex08_100_a.csv, sensor2,timestamp,2,96168.36165635212,99620.8546334054,363,496,3452.4929770532763,134,22.59432139089477,434,98004.0,22.627577620783974,Crack 2
flex08_100_a.csv, sensor2,timestamp,3,101641.8261321683,105304.83697367605,576,717,3663.0108415077557,142,22.57862692418463,647,103496.0,22.58819447120194,Crack 1
flex08_100_a.csv, sensor2,timestamp,4,109052.05496096559,112841.37652114601,863,1009,3789.321560180426,147,22.578585963082592,940,111051.0,22.58634012224239,Crack 1
flex08_100_a.csv, sensor2,timestamp,5,115578.1087590541,118988.49816321649,1116,1247,3410.389404162386,132,22.597541025906803,1191,117522.0,22.628738764183954,Crack 2
flex08_100_a.csv, sensor2,timestamp,6,120925.26251619759,125009.30908661427,1324,1481,4084.0465704166854,158,22.613458862218206,1393,122729.0,22.69203568172394,Crack 3
flex08_100_b.csv, sensor2,timestamp,1,137675.8094602606,141057.43237679588,139,269,3381.6229165352706,131,22.62373995254321,210,139512.0,22.697484106020628,Crack 3
flex08_100_b.csv, sensor2,timestamp,2,143078.6322809319,146110.43213713594,349,465,3031.7998562040448,117,22.599924628318153,408,144618.0,22.632203492447502,Crack 2
flex08_100_b.csv, sensor2,timestamp,3,148481.4551016032,151785.3395602871,558,685,3303.884458683897,128,22.581079940016444,613,149904.0,22.59147015099999,Crack 1
flex08_100_b.csv, sensor2,timestamp,4,155711.13168178208,159131.62382724302,839,970,3420.492145460943,132,22.581027870283783,894,157149.0,22.58954152843982,Crack 1
flex08_100_b.csv, sensor2,timestamp,5,161541.516020636,164923.13893717126,1065,1195,3381.6229165352706,131,22.600093925514106,1132,163285.0,22.634220962825818,Crack 2
flex08_100_b.csv, sensor2,timestamp,6,166827.7311545302,170675.7848181738,1270,1418,3848.053663643601,149,22.619547127910867,1335,168519.0,22.697502978595242,Crack 3
flex08_100_c.csv, sensor2,timestamp,1,203717.42285307706,207213.27270614478,149,283,3495.849853067717,135,22.63332004567894,226,205720.0,22.764656831482107,Crack 3
flex08_100_c.csv, sensor2,timestamp,2,208862.99960309808,212241.01182066914,348,478,3378.0122175710567,131,22.595839386922204,419,210697.0,22.65142035132443,Crack 2
flex08_100_c.csv, sensor2,timestamp,3,214558.48531877022,217740.10147718017,569,692,3181.6161584099464,124,22.571352384668053,625,216008.0,22.582107683608708,Crack 1
