file,x_col,y_col,n_samples,noise_floor,noise_sigma,signal_amplitude,snr_linear,snr_db,peak_count,peak_indices,peak_snr_db_values,peak_labels,peak_height_threshold
flex_8_b.csv,sensor1, sensor2,1079,35.460942722539166,0.027598107770198752,0.27941449111816397,10.124407566082626,20.107392394161185,6,100;214;336;604;739;862,25.475165;20.408990;10.936829;12.469876;19.794945;24.682209,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
flex_4_c.csv,sensor1, sensor2,939,4.813434537910242,0.0038408865362592978,0.03228679995899553,8.406080120877554,18.491870501609114,6,103;222;361;540;671;805,22.738811;18.021449;10.375065;12.162196;18.938118;22.557212,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
flex_4_b.csv,sensor1, sensor2,868,4.794004705430746,0.0040756753712603185,0.03234550484818621,7.936231888405782,17.992286979252448,6,68;191;315;494;627;752,22.294297;18.227634;12.070050;10.268852;17.750385;22.157269,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
flex_8_double.csv,sensor1, sensor2,869,35.4397415707353,0.037315260153611286,0.26772968626494276,7.174804226549992,17.116201106060625,6,83;222;349;518;643;769,6.996977;17.425936;21.924581;22.587291;16.795011;9.168815,Crack 1;Crack 2;Crack 3;Crack 3;Crack 2;Crack 1,
flex_8_c.csv,sensor1, sensor2,893,35.36766950011591,0.03977029779087542,0.28442671402986974,7.151737095997465,17.08823082085739,6,72;192;304;469;603;732,21.917450;17.099127;5.993674;5.812441;17.077321;21.783078,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
flex_4.csv,sensor1, sensor2,864,4.780627307428402,0.004300704895952536,0.0304131788542632,7.071673037339889,16.990443452538955,6,91;220;339;556;667;790,13.072903;17.333994;22.271575;22.314220;16.632743;10.196577,Crack 1;Crack 2;Crack 3;Crack 3;Crack 2;Crack 1,
flex_12_b.csv,sensor1, sensor2,892,73.20755261294846,0.2220302082986334,1.282687534006179,5.77708566701405,15.234176152751854,4,77;189;564;675,19.152938;6.869126;7.900737;19.358804,Crack 3;Crack 2;Crack 2;Crack 3,
flex_12_c.csv,sensor1, sensor2,848,73.2873828135316,0.39609231047254106,1.3920357292549994,3.5144225031642002,10.91707942185794,4,73;188;593;706,14.955071;3.133675;2.866574;15.114284,Crack 3;Crack 2;Crack 2;Crack 3,
flex_12_new.csv,sensor1, sensor2,760,76.39903650149233,0.15088699149856089,0.4255926293686869,2.820605177039043,9.006845973843268,6,77;182;303;431;560;674,16.104727;13.113106;3.726915;-0.216620;5.693247;11.399605,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
