source_path,file_size,mtime_ns,record_type,event_order,window_order,window_start_x,window_end_x,manual_label
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed60_delay50.csv,25334,1783536933690302700,window,1,1,3223478.9294026373,3225420.527540729,Crack 3
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed60_delay50.csv,25334,1783536933690302700,window,2,2,3226354.460822343,3228173.1730023273,Crack 2
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed60_delay50.csv,25334,1783536933690302700,window,3,3,3229180.837858805,3230729.200930954,Crack 1
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed60_delay50.csv,25334,1783536933690302700,window,4,4,3233997.9674166017,3235742.948021722,Crack 1
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed60_delay50.csv,25334,1783536933690302700,window,5,5,3236676.8813033355,3238471.016291699,Crack 2
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed60_delay50.csv,25334,1783536933690302700,window,6,6,3239306.6408068268,3241223.661753297,Crack 3
