source_path,file_size,mtime_ns,window_order,window_start_x,window_end_x,manual_label
C:\Users\newsp\ldcscanner\ldcscanner\experiment-inductor-stacking\flex08_660_b.csv,143997,1779127734713055500,1,116921.42754954024,120060.40649730698,Crack 3
C:\Users\newsp\ldcscanner\ldcscanner\experiment-inductor-stacking\flex08_660_b.csv,143997,1779127734713055500,2,121906.86470187565,125045.8436496424,Crack 2
C:\Users\newsp\ldcscanner\ldcscanner\experiment-inductor-stacking\flex08_660_b.csv,143997,1779127734713055500,3,127076.94767466794,130437.50160698291,Crack 1
C:\Users\newsp\ldcscanner\ldcscanner\experiment-inductor-stacking\flex08_660_b.csv,143997,1779127734713055500,4,134499.70965703402,137749.4760970749,Crack 1
C:\Users\newsp\ldcscanner\ldcscanner\experiment-inductor-stacking\flex08_660_b.csv,143997,1779127734713055500,5,140629.950896202,144212.07981306524,Crack 2
C:\Users\newsp\ldcscanner\ldcscanner\experiment-inductor-stacking\flex08_660_b.csv,143997,1779127734713055500,6,146169.32550990803,149529.87944222303,Crack 3
