source_path,file_size,mtime_ns,record_type,event_order,window_order,window_start_x,window_end_x,manual_label
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed200_delay5.csv,128296,1783616496239766500,window,1,1,527445.2582834905,527894.2813446283,Crack 3
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed200_delay5.csv,128296,1783616496239766500,window,2,2,528143.7386008159,528722.4794351711,Crack 2
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed200_delay5.csv,128296,1783616496239766500,window,3,3,528912.0669498736,529401.0031720013,Crack 1
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed200_delay5.csv,128296,1783616496239766500,window,4,4,532813.5784366475,533342.4278197653,Crack 1
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed200_delay5.csv,128296,1783616496239766500,window,5,5,533492.1021734779,533981.0383956055,Crack 2
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed200_delay5.csv,128296,1783616496239766500,window,6,6,534180.6042005556,534739.3884544158,Crack 3
