source_path,file_size,mtime_ns,record_type,event_order,window_order,window_start_x,window_end_x,manual_label
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed60_delay10.csv,101859,1783536315523668300,window,1,1,2609286.070034285,2611047.037706149,Crack 3
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed60_delay10.csv,101859,1783536315523668300,window,2,2,2611968.4742786353,2613647.5364773893,Crack 2
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed60_delay10.csv,101859,1783536315523668300,window,3,3,2614855.642205761,2616534.7044045147,Crack 1
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed60_delay10.csv,101859,1783536315523668300,window,4,4,2618439.0066543208,2620220.450694462,Crack 1
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed60_delay10.csv,101859,1783536315523668300,window,5,5,2621285.221844891,2622882.3785705348,Crack 2
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed60_delay10.csv,101859,1783536315523668300,window,6,6,2623926.6733526867,2625810.4992342154,Crack 3
