source_path,file_size,mtime_ns,window_order,window_start_x,window_end_x,manual_label
C:\Users\newsp\ldcscanner\ldcscanner\experiment-inductor-stacking\flex08_440_a.csv,143708,1779126986146909900,1,33590.99705882353,37145.60849056604,Crack 3
C:\Users\newsp\ldcscanner\ldcscanner\experiment-inductor-stacking\flex08_440_a.csv,143708,1779126986146909900,2,38984.20061043285,42252.80882352941,Crack 2
C:\Users\newsp\ldcscanner\ldcscanner\experiment-inductor-stacking\flex08_440_a.csv,143708,1779126986146909900,3,44745.12258601554,48095.44600443951,Crack 1
C:\Users\newsp\ldcscanner\ldcscanner\experiment-inductor-stacking\flex08_440_a.csv,143708,1779126986146909900,4,52222.06387347392,55735.81770255271,Crack 1
C:\Users\newsp\ldcscanner\ldcscanner\experiment-inductor-stacking\flex08_440_a.csv,143708,1779126986146909900,5,58636.707491675916,62068.746115427304,Crack 2
C:\Users\newsp\ldcscanner\ldcscanner\experiment-inductor-stacking\flex08_440_a.csv,143708,1779126986146909900,6,64070.76864594895,67993.09850166482,Crack 3
