source_path,file_size,mtime_ns,record_type,event_order,window_order,window_start_x,window_end_x,manual_label
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed50_delay5.csv,390345,1783538036473868900,window,1,1,4316600.297514953,4318963.485662805,Crack 3
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed50_delay5.csv,390345,1783538036473868900,window,2,2,4320241.931710003,4322372.675122,Crack 2
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed50_delay5.csv,390345,1783538036473868900,window,3,3,4323883.565905053,4325859.346159814,Crack 1
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed50_delay5.csv,390345,1783538036473868900,window,4,4,4330624.463244826,4332677.725078206,Crack 1
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed50_delay5.csv,390345,1783538036473868900,window,5,5,4334188.615861258,4336241.877694637,Crack 2
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\Scan Speed Experiments\speed50_delay5.csv,390345,1783538036473868900,window,6,6,4337559.064531145,4339922.252678996,Crack 3
