source_path,file_size,mtime_ns,record_type,event_order,window_order,window_start_x,window_end_x,manual_label
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\ECLAIR-EC Demo\All runs 6-2-26\alum_6.csv,106705,1781895287307770300,window,1,1,8065.744725283082,9775.782237956642,Crack 1
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\ECLAIR-EC Demo\All runs 6-2-26\alum_6.csv,106705,1781895287307770300,window,2,2,11584.475760976755,13475.382625952323,Crack 2
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\ECLAIR-EC Demo\All runs 6-2-26\alum_6.csv,106705,1781895287307770300,window,3,3,14922.337444368412,16895.457651299443,Crack 3
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\ECLAIR-EC Demo\All runs 6-2-26\alum_6.csv,106705,1781895287307770300,trim,1,,5575664.233073447,5601781.62970651,
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\ECLAIR-EC Demo\All runs 6-2-26\alum_6.csv,106705,1781895287307770300,trim,2,,5620014.739985738,5630250.158821576,
