source_path,file_size,mtime_ns,window_order,window_start_x,window_end_x,manual_label
C:\Users\newsp\ldcscanner\ldcscanner\experiment-capacitor-changing\flex08_100_c.csv,166176,1780006552378160200,1,203717.42285307706,207213.27270614478,Crack 3
C:\Users\newsp\ldcscanner\ldcscanner\experiment-capacitor-changing\flex08_100_c.csv,166176,1780006552378160200,2,208862.99960309808,212241.01182066914,Crack 2
C:\Users\newsp\ldcscanner\ldcscanner\experiment-capacitor-changing\flex08_100_c.csv,166176,1780006552378160200,3,214558.48531877022,217740.10147718017,Crack 1
C:\Users\newsp\ldcscanner\ldcscanner\experiment-capacitor-changing\flex08_100_c.csv,166176,1780006552378160200,4,221078.83448291902,225085.31408980562,Crack 1
C:\Users\newsp\ldcscanner\ldcscanner\experiment-capacitor-changing\flex08_100_c.csv,166176,1780006552378160200,5,227402.7875879067,231291.42955929664,Crack 2
C:\Users\newsp\ldcscanner\ldcscanner\experiment-capacitor-changing\flex08_100_c.csv,166176,1780006552378160200,6,232705.48118525662,236476.28552114987,Crack 3
