source_path,file_size,mtime_ns,window_order,window_start_x,window_end_x,manual_label
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\ECLAIR-EC Demo\4layer runs 6-2-26\titan_4.csv,123257,1780434362842851900,1,2500239.74794683,2503102.897427948,Crack 2
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\ECLAIR-EC Demo\4layer runs 6-2-26\titan_4.csv,123257,1780434362842851900,2,2504550.927050583,2507710.2644090583,Crack 3
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\ECLAIR-EC Demo\4layer runs 6-2-26\titan_4.csv,123257,1780434362842851900,3,2496097.4291387247,2499640.0885169464,Crack 1
