source_path,file_size,mtime_ns,window_order,window_start_x,window_end_x,manual_label
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\ECLAIR-EC Demo\4layer runs 6-2-26\ss_12.csv,149991,1780436169662241200,1,4301437.469039616,4303570.464920714,Crack 3
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\ECLAIR-EC Demo\4layer runs 6-2-26\ss_12.csv,149991,1780436169662241200,2,4293299.820888202,4296221.487515252,Crack 1
C:\Users\newsp\UCB-O365\MECHENGR-AIMRL - General\2) Projects\Project - AFRL\4) Experiments\1) Raw Data\ECLAIR-EC Demo\4layer runs 6-2-26\ss_12.csv,149991,1780436169662241200,3,4297995.996693644,4300236.538585553,Crack 2
