file,x_col,y_col,manual_label,window_start_x,window_end_x,window_start_raw_idx,window_end_raw_idx,peak_index_in_clean_series,peak_raw_idx,peak_x,peak_y,noise_floor,noise_sigma,peak_signal_amplitude,peak_snr_linear,peak_snr_db
flex_04_a.csv,sensor1, sensor2,Crack 1,5176.624001998206,5151.106425895481,619,743,702,702,5157.001326871221,2.8594143061065784,2.8557950479185377,0.00035188544724344293,0.0036192581880407637,10.285330684723863,20.244365186034624
flex_04_a.csv,sensor1, sensor2,Crack 1,5198.888747924203,5207.639251332611,898,1014,960,960,5201.632608425838,2.8598140115942816,2.8560206737207783,0.00035188544724344293,0.003793337873503333,10.780036239688563,20.65240441677379
flex_04_a.csv,sensor1, sensor2,Crack 2,5236.44730951408,5198.94539872133,385,519,455,455,5205.3119239185335,2.8669783343664634,2.8554254736866405,0.00035188544724344293,0.011552860679822974,32.831311355227555,30.325764595168682
flex_04_a.csv,sensor1, sensor2,Crack 2,5226.411124822866,5273.253078527318,1125,1258,1193,1193,5246.174036368593,2.86690396653562,2.8559111994532222,0.00035188544724344293,0.010992767082397936,31.23961837158009,29.89411439646809
flex_04_a.csv,sensor1, sensor2,Crack 3,5318.249242864045,5267.664380196196,158,294,223,223,5280.698116425074,2.8769358846449973,2.855402120346598,0.00035188544724344293,0.021533764298399483,61.19538181271219,35.7343729759396
flex_04_a.csv,sensor1, sensor2,Crack 3,5301.5824448067415,5372.612025303191,1341,1506,1435,1435,5331.130106247009,2.876499386185581,2.855670624037667,0.00035188544724344293,0.020828762147914404,59.19188278765208,35.445243086405554
flex_04_b.csv,sensor1, sensor2,Crack 1,5178.075014060686,5164.8183190513455,591,726,652,652,5162.93983703882,2.8564031476729177,2.852829627306305,0.000274376494952754,0.003573520366612737,13.024149051937103,22.29498715517677
flex_04_b.csv,sensor1, sensor2,Crack 1,5163.103722111627,5199.061025149475,901,1044,976,976,5188.728277561881,2.8567674125263838,2.8529448728361855,0.000274376494952754,0.003822539690198301,13.931731618834622,22.880101992178417
flex_04_b.csv,sensor1, sensor2,Crack 2,5237.317552342824,5197.798165930442,355,493,431,431,5207.374424173288,2.8640148620625103,2.85255742019986,0.000274376494952754,0.01145744186265052,41.758102728965255,32.41481516719286
flex_04_b.csv,sensor1, sensor2,Crack 2,5224.915222741103,5276.211306158032,1150,1296,1224,1224,5244.756016609501,2.8638489472446262,2.8528684718481006,0.000274376494952754,0.01098047539652569,40.01973783656819,32.04548478620139
flex_04_b.csv,sensor1, sensor2,Crack 3,5314.81336397247,5266.137688491113,132,267,199,199,5277.517318844115,2.873655426034582,2.8526360990500086,0.000274376494952754,0.02101932698457354,76.60760805400966,37.685438048474225
flex_04_b.csv,sensor1, sensor2,Crack 3,5309.310404482317,5374.780804620159,1394,1555,1468,1468,5328.587129324055,2.8737692199700464,2.852867461420861,0.000274376494952754,0.020901758549185523,76.17911495219253,37.636718454550056
flex_04_c.csv,sensor1, sensor2,Crack 1,5171.541045586016,5146.635739932466,596,726,671,671,5161.103374883613,2.858140667657775,2.8546757033045487,0.0002632285004910623,0.0034649643532262964,13.16333279550763,22.38731722545072
flex_04_c.csv,sensor1, sensor2,Crack 1,5200.61550302816,5210.0137332628665,908,1030,963,963,5209.0204919516445,2.8588263579061697,2.854765545919174,0.0002632285004910623,0.004060811986995816,15.426946472058399,23.765599452474476
flex_04_c.csv,sensor1, sensor2,Crack 2,5228.367929762016,5194.101815372992,386,513,450,450,5199.582288359002,2.8659111502157604,2.8547164243761727,0.0002632285004910623,0.011194725839587694,42.52854770172503,32.57361104675824
flex_04_c.csv,sensor1, sensor2,Crack 2,5227.497734737871,5272.195798020631,1145,1285,1208,1208,5243.334521468778,2.8658800556718163,2.854909738992096,0.0002632285004910623,0.010970316679720149,41.67602162856464,32.397725094876655
