file,x_col,y_col,n_samples,noise_floor,noise_sigma,signal_amplitude,snr_linear,snr_db,peak_count,peak_indices,peak_snr_db_values,peak_labels,peak_height_threshold
flex08_100_a.csv,sensor1, sensor2,1598,22.570697595886337,0.027451357860807078,0.11825428556173279,4.307775453634922,12.68506114512391,2,238;1393,12.418407;12.943772,Peak;Peak,22.65305166946876
flex08_100_b.csv,sensor1, sensor2,1510,22.572375058281782,0.029705149007412404,0.125118484026153,4.212013344721208,12.489794769402891,2,210;1335,12.489140;12.490450,Peak;Peak,22.66149050530402
flex08_100_c.csv,sensor1, sensor2,1521,22.55829039200176,0.04172916938213157,0.1846002872461021,4.423770949180406,12.915852645850258,2,226;1338,13.883987;11.826114,Peak;Peak,22.683477900148155
flex08_220_a.csv,sensor1, sensor2,1625,20.291408307388885,0.0483250174020869,0.1984908540471011,4.107414021097266,12.271369625689992,2,250;1459,12.231422;12.311134,Peak;Peak,20.436383359595144
flex08_220_b.csv,sensor1, sensor2,1559,20.294019284635752,0.04858502684471201,0.19551684489442955,4.024220168064177,12.093634665408992,2,203;1360,12.051990;12.135080,Peak;Peak,20.43977436516989
flex08_220_c.csv,sensor1, sensor2,1591,20.293456560751295,0.04625088203148568,0.18967173527517645,4.100932283757438,12.257651962032146,2,220;1417,12.208319;12.306706,Peak;Peak,20.43220920684575
flex08_440_a.csv,sensor1, sensor2,1614,20.328440440725036,0.034029911205200596,0.1423987046306987,4.184515903436643,12.432904455059592,2,227;1428,12.483787;12.381722,Peak;Peak,20.43053017434064
flex08_440_b.csv,sensor1, sensor2,1574,20.324479162568778,0.0355211336522717,0.14770191921026488,4.15814204175375,12.377986414176512,2,216;1394,12.389920;12.366036,Peak;Peak,20.431042563525594
flex08_440_c.csv,sensor1, sensor2,1520,20.316646295320737,0.033837768595248584,0.1388054085665935,4.102085164861735,12.26009345338978,2,181;1346,12.349809;12.169441,Peak;Peak,20.41815960110648
flex08_660_a.csv,sensor1, sensor2,1604,20.740287588253576,0.028628816377594325,0.12294025655867813,4.294283596540668,12.657814441248616,2,206;1345,12.687392;12.628136,Peak;Peak,20.82617403738636
flex08_660_b.csv,sensor1, sensor2,1459,20.741924640201695,0.02797451478514467,0.11521408663820054,4.118537444638102,12.2948603765326,2,152;1302,12.239932;12.349444,Peak;Peak,20.825848184557127
flex08_660_c.csv,sensor1, sensor2,1482,20.72684183808621,0.02497941544478361,0.10423133844473398,4.172689255884903,12.408320871902813,2,154;1260,12.406308;12.410333,Peak;Peak,20.80178008442056
