file,x_col,y_col,n_samples,noise_floor,noise_sigma,signal_amplitude,snr_linear,snr_db,peak_count,peak_indices,peak_snr_db_values,peak_labels,peak_height_threshold
flex_8_c.csv,sensor1_smooth_rot, sensor2_smooth_rot,893,35.356959829168495,0.030318649250425714,0.25691045650366107,8.473677517149076,18.561438640579045,6,79;195;305;485;612;735,24.141782;18.624103;8.068934;8.996608;18.498319;23.683446,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
flex_4_c.csv,sensor1_smooth_rot, sensor2_smooth_rot,939,4.814661033587241,0.005097055782914287,0.027183533271542437,5.333183396317474,14.539730367222903,5,107;230;351;548;809,19.330395;14.539730;3.617864;2.684487;18.745311,Crack 3;Crack 2;Crack 1;Crack 1;Crack 3,
flex_12_new.csv,sensor1_smooth_rot, sensor2_smooth_rot,733,76.44135430545519,0.10191969525235042,0.21429475549938815,2.102584343181169,6.4550685226306115,6,80;186;306;438;562;674,18.730009;16.230281;4.491533;0.703505;5.414302;7.384365,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
