file,manual_label,window_order,window_start_x,window_end_x,window_start_raw_idx,window_end_raw_idx,window_width,window_point_count,window_mean_y,window_peak_raw_x,window_peak_raw_y
flex_12.csv,Crack 1,1,113719.05616251777,116322.28901780875,,,2603.2328552909894,52.0,76.40094251876292,115713.0,76.46989448809008
flex_12.csv,Crack 1,2,121375.6233839619,123978.8562392529,,,2603.232855291004,52.0,76.37342382123276,122363.0,76.43899937689807
flex_12.csv,Crack 2,1,63675.523573565355,66722.03655520377,,,3046.5129816384047,61.0,74.51173871369478,65326.666666666664,74.75664680807871
flex_12.csv,Crack 2,2,83295.02580318843,85819.10489426798,,,2524.079091079562,50.666666666666664,74.49999336748789,84426.66666666667,74.68059203169865
flex_12.csv,Crack 3,1,58529.48451868608,60968.94503073043,,,2439.460512044352,48.666666666666664,75.065250166331,59760.0,75.92858335725016
flex_12.csv,Crack 3,2,88812.49701073502,91495.27730675171,,,2682.780296016708,53.333333333333336,74.94237242977057,90210.0,75.76574499297168
flex_4.csv,Crack 1,1,102007.71569113666,105306.73786134871,,,3299.022170212035,65.66666666666667,4.79934072919296,103873.66666666667,4.8036543863070555
flex_4.csv,Crack 1,2,96707.05632640845,99748.93507626567,,,3041.8787498572296,61.0,4.800356946975962,98573.66666666667,4.804350366137502
flex_4.csv,Crack 2,1,95876.24174985777,99214.34820004244,,,3338.10645018468,66.33333333333333,4.807547804426534,97823.66666666667,4.821111449788063
flex_4.csv,Crack 2,2,124927.60519156247,128683.18404045115,,,3755.5788488886756,75.0,4.798176266953919,126712.5,4.812027597872982
flex_4.csv,Crack 3,1,86417.57340189918,89963.5910398196,,,3546.0176379204327,71.0,4.817751874893516,88240.33333333333,4.8431592594917605
flex_4.csv,Crack 3,2,112824.89628347917,116619.40452905836,,,3794.508245579178,76.0,4.816357250637533,114873.66666666667,4.842216231903994
flex_8.csv,Crack 1,1,308564.4217987242,312155.6987325596,,,3591.276933835378,72.0,35.44858956077717,310147.3333333333,35.47856107860088
flex_8.csv,Crack 1,2,298924.3066470255,302359.37166271126,,,3435.065015685754,68.66666666666667,35.454032311032826,300564.0,35.4834428755775
flex_8.csv,Crack 2,1,306472.43856907653,310201.8475706211,,,3729.409001544552,74.66666666666667,35.53506131486628,308364.0,35.66912354036086
flex_8.csv,Crack 2,2,301054.9040836568,304803.5299937402,,,3748.6259100834336,75.33333333333333,35.53448658002215,302964.0,35.67205469907706
flex_8.csv,Crack 3,1,301900.1314745835,305458.24305623583,,,3558.1115816522747,71.33333333333333,35.64229330292147,303580.6666666667,35.88659010612093
flex_8.csv,Crack 3,2,306337.0240002683,310052.75447946606,,,3715.730479197761,74.0,35.62833277774589,308147.3333333333,35.88096271471585
