file,manual_label,count
flex08_100_a.csv,Crack 1,2
flex08_100_a.csv,Crack 2,2
flex08_100_a.csv,Crack 3,2
flex08_100_b.csv,Crack 1,2
flex08_100_b.csv,Crack 2,2
flex08_100_b.csv,Crack 3,2
flex08_100_c.csv,Crack 1,2
flex08_100_c.csv,Crack 2,2
flex08_100_c.csv,Crack 3,2
flex08_220_a.csv,Crack 1,2
flex08_220_a.csv,Crack 2,2
flex08_220_a.csv,Crack 3,2
flex08_220_b.csv,Crack 1,2
flex08_220_b.csv,Crack 2,2
flex08_220_b.csv,Crack 3,2
flex08_220_c.csv,Crack 1,2
flex08_220_c.csv,Crack 2,2
flex08_220_c.csv,Crack 3,2
flex08_660_a.csv,Crack 1,2
flex08_660_a.csv,Crack 2,2
flex08_660_a.csv,Crack 3,2
flex08_660_b.csv,Crack 1,2
flex08_660_b.csv,Crack 2,2
flex08_660_b.csv,Crack 3,2
flex08_660_c.csv,Crack 1,2
flex08_660_c.csv,Crack 2,2
flex08_660_c.csv,Crack 3,2
flex_08_440.csv,Crack 1,2
flex_08_440.csv,Crack 2,2
flex_08_440.csv,Crack 3,2
flex_08_440_b.csv,Crack 1,2
flex_08_440_b.csv,Crack 2,2
flex_08_440_b.csv,Crack 3,2
flex_08_440_c.csv,Crack 1,2
flex_08_440_c.csv,Crack 2,2
flex_08_440_c.csv,Crack 3,2
