timestamp,sensor1,sensor2,sensor1_smooth,sensor2_smooth,sensor1_smooth_rot,sensor2_smooth_rot,rotation_angle_deg
155383.0,6471.793,20.456476,6473.161157894737,20.45507294736841,6491.487848935403,20.304578602775358,47.4
155408.0,6473.072,20.44759,6473.140131578949,20.45483910526315,6491.383597322317,20.304500177454493,47.4
155433.0,6470.675,20.44759,6473.16955263158,20.45483910526315,6491.394097183956,20.304483934400835,47.4
155459.0,6473.232,20.456476,6473.135894736841,20.45483910526315,6491.357189163511,20.304593791060615,47.4
155484.0,6470.516,20.456476,6473.1106842105255,20.45483910526315,6491.330362709782,20.304677491246057,47.4
155509.0,6475.15,20.456476,6473.110684210526,20.45483910526315,6491.328893299302,20.304744187612783,47.4
155535.0,6467.003,20.456476,6473.014052631578,20.45483910526315,6491.246393467371,20.304920756487252,47.4
155560.0,6474.351,20.456476,6473.026684210526,20.45507294736841,6491.333082863841,20.305123137340757,47.4
155585.0,6472.273,20.456476,6472.942526315789,20.455072947368414,6491.265958775708,20.30529395019487,47.4
155611.0,6472.273,20.456476,6472.845763157894,20.45507294736841,6491.192219566696,20.305492746171993,47.4
155636.0,6475.791,20.456476,6473.001394736841,20.45507294736841,6491.288435468474,20.30530779721048,47.4
155661.0,6474.511,20.456476,6473.068710526314,20.45507294736841,6491.325220657518,20.305257429943545,47.4
155687.0,6475.311,20.456476,6473.026605263156,20.455072947368414,6491.285718657919,20.305379003595213,47.4
155713.0,6472.592,20.456476,6472.984526315789,20.45507294736841,6491.2472816194795,20.3054860692529,47.4
155738.0,6469.557,20.456476,6472.934078947368,20.45507294736841,6491.20128632571,20.30561476511779,47.4
155763.0,6471.155,20.456476,6472.913078947368,20.45507294736841,6491.183083947028,20.30569883274977,47.4
155789.0,6472.592,20.456476,6472.925684210526,20.45507294736841,6491.181786658725,20.305724862849488,47.4
155814.0,6470.356,20.456476,6472.883657894737,20.45507294736841,6491.143405653702,20.30583287523031,47.4
155839.0,6471.474,20.456476,6472.765868421053,20.45507294736841,6491.054880677526,20.306042686356555,47.4
155865.0,6483.158,20.465364,6473.0312894736835,20.455306842105255,6491.311151131374,20.305875457507966,47.4
155890.0,6480.272,20.465364,6473.12397368421,20.455774578947363,6491.5318154204015,20.306098831351356,47.4
155915.0,6479.792,20.465364,6473.372289473683,20.45624231578947,6491.858723695271,20.30609244372819,47.4
155941.0,6478.351,20.465364,6473.591078947368,20.456476210526315,6492.080484121537,20.305967991799196,47.4
155967.0,6477.23,20.465364,6473.532078947367,20.45671010526316,6492.119073278161,20.3062666754017,47.4
155992.0,6486.526,20.465364,6473.966,20.456944000000004,6493.120192305498,20.307473949313373,47.4
156017.0,6477.23,20.465364,6474.058605263158,20.457411736842108,6492.70976843934,20.30605969139025,47.4
156043.0,6480.914,20.474255,6474.180789473684,20.45787960526316,6492.968031352206,20.306300495372064,47.4
156068.0,6483.478,20.465364,6474.580736842106,20.4581135,6493.761702302005,20.307067040969425,47.4
156093.0,6484.921,20.465364,6474.879921052631,20.458347394736844,6494.303409555841,20.30751534588976,47.4
156119.0,6527.065,20.554344,6476.34705263158,20.460922868421054,6500.167422888235,20.316496933164732,47.4
