file,x_col,y_col,n_samples,noise_floor,noise_sigma,signal_amplitude,snr_linear,snr_db,peak_count,peak_indices,peak_snr_db_values,peak_labels,peak_height_threshold
flex_4.csv,sensor1_smooth_rot, sensor2_smooth_rot,864,4.777828828968715,0.001286650718212658,0.024279185337130915,18.870067061290868,25.51546887165774,6,103;226;352;560;681;800,16.188381;25.878612;31.793272;31.746694;25.136479;15.897265,Crack 1;Crack 2;Crack 3;Crack 3;Crack 2;Crack 1,
flex_4_b.csv,sensor1_smooth_rot, sensor2_smooth_rot,868,4.793683475682214,0.001435687956499289,0.026440136703714145,18.416353347550867,25.304072780166294,6,73;196;319;501;629;761,30.683858;25.473718;16.448727;16.034678;25.131048;30.101806,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
flex_8_b.csv,sensor1_smooth_rot, sensor2_smooth_rot,1079,35.45543362180155,0.01445547814527365,0.2579839525406662,17.846794823941288,25.031204615950404,6,103;220;338;610;734;863,30.983032;25.295172;11.691961;13.394623;24.758963;30.207344,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
flex_8_c.csv,sensor1_smooth_rot, sensor2_smooth_rot,893,35.36165199401382,0.022412615658846724,0.25627586859672036,11.434447121104446,21.16430340848654,6,79;195;305;485;612;735,26.669359;21.236589;8.001925;9.387399;21.091411;26.245525,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
flex_12_b.csv,sensor1_smooth_rot, sensor2_smooth_rot,892,73.23938003948899,0.12264728375050855,0.9889188440795351,8.063112478635993,18.130054363071835,4,82;198;562;680,22.476823;6.480837;9.025123;22.499951,Crack 3;Crack 2;Crack 2;Crack 3,
flex_4_c.csv,sensor1_smooth_rot, sensor2_smooth_rot,939,4.814661033587241,0.005097055782914287,0.027183533271542437,5.333183396317474,14.539730367222903,5,107;230;351;548;809,19.330395;14.539730;3.617864;2.684487;18.745311,Crack 3;Crack 2;Crack 1;Crack 1;Crack 3,
flex_12_c.csv,sensor1_smooth_rot, sensor2_smooth_rot,848,73.29679570879618,0.40621377470789927,1.3276985770672027,3.2684725623150666,10.286896871336715,4,76;188;593;710,15.177704;-2.043411;-1.653141;15.133110,Crack 3;Crack 2;Crack 2;Crack 3,
flex_12_new.csv,sensor1_smooth_rot, sensor2_smooth_rot,760,76.37158794136401,0.30419197324780967,0.3405302684236773,1.1194584287937954,0.9801594128668081,6,80;186;306;438;562;674,9.455205;6.850095;-4.944507;-8.628823;-3.621269;3.972258,Crack 3;Crack 2;Crack 1;Crack 1;Crack 2;Crack 3,
