file,x_col,y_col,manual_label,window_start_x,window_end_x,window_start_raw_idx,window_end_raw_idx,peak_index_in_clean_series,peak_raw_idx,peak_x,peak_y,noise_floor,noise_sigma,peak_signal_amplitude,peak_snr_linear,peak_snr_db
alum_1.csv,sensor1, sensor2,Crack 1,4903.455,4930.162,412,488,445,445,4882.809,2.540863,2.536566422077922,0.0014643831423435127,0.004296577922077827,2.93405311618231,9.349359435244605
alum_1.csv,sensor1, sensor2,Crack 2,4822.952,4855.144,539,611,579,579,4793.766,2.553764,2.5356752148760333,0.0014643831423435127,0.018088785123966833,12.352494781535524,21.835093581768163
alum_1.csv,sensor1, sensor2,Crack 3,4869.669,4799.852,683,759,722,722,4748.902,2.570163,2.5361043833333334,0.0014643831423435127,0.03405861666666654,23.257995589980048,27.331445676704345
alum_2.csv,sensor1, sensor2,Crack 1,4871.179,4891.987,371,463,412,412,4854.587,2.566633,2.5607909408983454,0.0011962271176883732,0.005842059101654584,4.8837373900568,13.77504605748172
alum_2.csv,sensor1, sensor2,Crack 2,4871.113,4899.713,516,587,549,549,4832.147,2.57807,2.560614088235294,0.0011962271176883732,0.017455911764705956,14.592472872909207,23.28257789277838
alum_2.csv,sensor1, sensor2,Crack 3,4807.804,4824.374,638,720,678,678,4744.972,2.594089,2.560419402173913,0.0011962271176883732,0.03366959782608703,28.146492692082766,28.988485710657862
alum_3.csv,sensor1, sensor2,Crack 1,4993.043,4908.476,389,482,436,436,4911.83,2.62786,2.621490205298014,0.0026330180146054414,0.006369794701986287,2.419199058514912,7.673432096115883
alum_3.csv,sensor1, sensor2,Crack 2,5061.426,4969.595,547,646,590,590,4855.654,2.638914,2.6212518904109587,0.0026330180146054414,0.017662109589041464,6.707933440283786,16.531774893049235
alum_3.csv,sensor1, sensor2,Crack 3,4931.447,4851.629,729,836,785,785,4786.921,2.655972,2.6172237898089175,0.0026330180146054414,0.038748210191082766,14.71627234456624,23.355956328829848
alum_5.csv,sensor1, sensor2,Crack 1,4952.848,4842.079,391,460,428,428,4825.225,2.543727,2.5409361322869954,0.0029191092739328938,0.00279086771300463,0.9560682561377756,-0.39022202464927724
alum_5.csv,sensor1, sensor2,Crack 2,4856.25,4871.592,516,590,552,552,4830.207,2.555012,2.5373846956521744,0.0029191092739328938,0.017627304347825667,6.038590095010912,15.618711006086555
alum_5.csv,sensor1, sensor2,Crack 3,4865.697,4772.476,651,729,691,691,4735.147,2.571122,2.5374565,0.0029191092739328938,0.033665500000000126,11.532798823472222,21.238694326440633
alum_6.csv,sensor1, sensor2,Crack 1,4937.384,4890.859,323,391,354,354,4922.417,2.527174,2.521962434782609,0.0015518307583300408,0.00521156521739119,3.358333497010634,10.5224764251996
alum_6.csv,sensor1, sensor2,Crack 2,4870.535,4886.201,460,531,497,497,4768.777,2.540068,2.5223183015873016,0.0015518307583300408,0.017749698412698578,11.437908623360075,21.166932453534606
alum_6.csv,sensor1, sensor2,Crack 3,4906.027,4774.832,590,668,627,627,4837.916,2.554939,2.5226598090909085,0.0015518307583300408,0.03227919090909159,20.80071601611244,26.361565695884515
alum_7.csv,sensor1, sensor2,Crack 1,4950.064,4839.865,392,467,426,426,4866.525,2.527177,2.5225455691964287,0.0020682952217292066,0.0046314308035713125,2.2392503521326064,7.0020530236269405
alum_7.csv,sensor1, sensor2,Crack 2,4857.311,4935.354,524,603,566,566,4770.111,2.538596,2.5212164,0.0020682952217292066,0.01737959999999994,8.402862327105149,18.48854496200267
alum_7.csv,sensor1, sensor2,Crack 3,4801.015,4757.897,643,722,683,683,4851.939,2.552457,2.5212971555555557,0.0020682952217292066,0.031159844444444307,15.06547233542076,23.559655046043652
alum_8.csv,sensor1, sensor2,Crack 1,4960.275,4878.314,417,514,454,454,4846.955,2.767419,2.762071294505495,0.0009648260734187561,0.005347705494505028,5.542662705575541,14.874369014878821
alum_8.csv,sensor1, sensor2,Crack 2,4907.189,4846.774,553,634,591,591,4783.865,2.779258,2.7619530120481923,0.0009648260734187561,0.017304987951807682,17.935862668480073,25.074445399052717
alum_8.csv,sensor1, sensor2,Crack 3,4817.381,4847.241,680,756,720,720,4712.284,2.795083,2.762103376237623,0.0009648260734187561,0.03297962376237695,34.18193669405849,30.675933310300984
