timestamp,sensor1,sensor2,sensor1_smooth,sensor2_smooth
18055.0,5136.84,73.074371,5158.026,73.0564597
18105.0,5210.17,73.040794,5159.5199999999995,73.05590040000001
18155.0,5254.96,73.113564,5171.643,73.0581404
18205.0,5241.38,73.074371,5178.218999999999,73.05590040000001
18255.0,5162.98,73.147179,5178.377,73.0670996
18305.0,5157.73,73.147179,5181.243999999999,73.07997809999999
18355.0,5204.29,73.175186,5187.624,73.0962165
18405.0,5156.68,73.130371,5186.0470000000005,73.1012565
18455.0,5186.73,73.147179,5187.264,73.1102165
18505.0,5201.62,73.124763,5191.338,73.11749569999999
18555.0,5254.96,73.169586,5203.15,73.1270172
18605.0,5184.61,73.158371,5200.593999999999,73.1387749
18655.0,5225.73,73.175186,5197.670999999999,73.14493709999999
18705.0,5240.84,73.130371,5197.617,73.1505371
18755.0,5210.7,73.085579,5202.389,73.1443771
18805.0,5228.96,73.096771,5209.512,73.1393363
18855.0,5141.53,73.113564,5203.235999999999,73.13317409999999
18905.0,5185.67,73.096771,5206.134999999999,73.1298141
18955.0,5145.7,73.107971,5202.031999999999,73.1258933
19005.0,5102.23,73.074371,5192.092999999999,73.1208541
19055.0,5179.85,73.158371,5184.582,73.11973259999999
19105.0,5134.77,73.175186,5179.598,73.1214141
19155.0,5166.13,73.152779,5173.638,73.1191734
19205.0,5129.57,73.169586,5162.511,73.1230949
19255.0,5082.3,73.225616,5149.671,73.13709859999999
19305.0,5072.14,73.270447,5133.989,73.15446619999999
19355.0,5119.22,73.259247,5131.758,73.1690345
19405.0,5117.16,73.191986,5124.907000000001,73.178556
19455.0,5130.61,73.186394,5123.398000000001,73.1863983
19505.0,5113.55,73.113564,5124.530000000001,73.1903176
19555.0,5139.97,73.040794,5120.542,73.17855990000001
19605.0,5121.29,72.97924,5119.194,73.1589653
19655.0,5120.26,72.951256,5114.607000000001,73.138813
19705.0,5206.96,72.956856,5122.346,73.11754
19755.0,5233.27,72.96804,5137.442999999999,73.0917824
19805.0,5214.99,72.934479,5151.728000000001,73.0581856
19855.0,5121.29,72.889732,5151.9349999999995,73.0212341
19905.0,5168.24,72.822662,5157.043,72.9843017
19955.0,5095.06,72.833832,5153.487999999999,72.94904550000001
20005.0,5157.21,72.856201,5157.854,72.92330920000002
20055.0,5142.05,72.861778,5158.062,72.90540759999999
20105.0,5178.26,72.805893,5163.759,72.8880729
20155.0,5197.89,72.861778,5171.521999999999,72.87912509999998
20205.0,5150.4,72.867371,5165.866,72.87017660000001
20255.0,5203.22,72.900917,5162.861000000001,72.8634643
20305.0,5162.98,72.923286,5157.660000000001,72.86234499999999
20355.0,5162.98,72.845016,5161.829,72.85787339999999
20405.0,5185.67,72.867371,5163.572,72.8623443
